Sources - see bottom right,,category,,datadog score,POPULARITY IN US,POPULARITY IN US,"LIFETIME COST, $",5 LIFETIME COST,,1 INTELLIGENCE (TRAINABILITY) ranking,INTELLIGENCE (TRAINABILITY) ranking,2 LONGEVITY,LONGEVITY,3 NO. OF GENETIC AILMENTS,GENETIC AILMENTS,"4a average purchase price, US$","average purchase price, US$","4b food costs per year, US$","food costs per year, US$",5a grooming required ,grooming required ,5b suitability for children ,suitability for children ,,ULTIMATE TOP DOG MEGA SCORE (with kids),ULTIMATE TOP DATA DOG MEGA RANKING - without kids,ULTIMATE TOP DATA DOG MEGA RANKING - with kids,ULTIMATE TOP DOG MEGA SCORE,POPULAR RATING,,size category,weight (kg),weight (lbs),shoulder height (cm),shoulder height (in),,note,source,link,intelligence category,repetitions to understand new commands,obey first command (% of time),longevity sample size - survey sample size,GENETIC DISEASES - congenital ailments: summary / areas affected,congenital ailments: summary / areas affected,exclude?,most abandoned?,,"4 LIFETIME COST, $",4 LIFETIME COST,average purchase price (US $),price bracket,lowest (US$),highest (US$),"food per week, average, £","min, £","max, £","food per week, $","food per year, $","food per lifetime, $",,"Other regular costs, total per lifetime, $","total  per year, $","total, per year, £","toys, presents, treats, per year, £","pet sitters, per year, £","grooming, per year, £","vet fees per year, £","kennels per year, £","one offs, $",,,,
Dog breed,,American Kennel Club group,,,"1- 173, 1 = most poular, US. American Kennel Club registrations 2011, pure breeds only",ranking within breeds with full data only,,"in descending rank (higher score = better),  normalized as percentage",,1 = easiest to train / learn new commands,"in descending rank (higher score = better),  normalized as percentage","years, weighted average - see note","in ascending rank order (higher score = better), normalized as percentage",serious only,0 = 100% ... 9 = 0%,"mean, from puppyfind.com",reverse ranked percentile,,reverse ranked percentile,once every.. 1=day. 2=week 3=few weeks,"once every few weeks 100%, week 75%, day 50%",1 - highly suitable. 2 - medium suitability. 3 - low suitability ,"100% = highly suitable, 50% = medum, 0% = low",,intelligence + longevity + ailments + cost scores (50% each) + 100% grooming score. highest possible score: 5,,,intelligence + longevity + ailments + 50% (purchase price + food costs + grooming score). highest possible score: 4.5,"pure breeds, American Kennel Club 2011",,,"mean of 'ideal' range for breed, mean of dogs and bitches",,,,,"popularity ranking: some breeds not included. intelligence ranking: some rank spots have multiple breeds. longevity is weighted average (mean) of several sources. price is mean price, first 10 puppies/breed, puppyfind.com 11-13 July 2012.",,,,,,<20 = not trustworthy,only serious + common for breed,only serious + common for breed,X = exclude,no data,,,"in descending rank (higher score = better),  normalized as percentage","mean, from puppyfind.com",,,,,,,converted to US $ using Google Finance,,food per week x 52.1775 x average lifespan (column N),,"if no average lifespan data, then 'no data'",converted to US $ using Google Finance,,averaged across all dog breeds. pet food excluded as calculated separately (see food costs),,,,,"Initial outlay: leash, collar, ID tag; food dishes; crate & bedding; toys and chews.",,,,
Shetland Sheepdog,,herding,,3.22,20,20,"$21,006",34.00%,,6,94%,12.53,80%,5,44%,$465,93%,$405,63%,1,50%,1,100.00%,,4.47,11,8,3.22,20,,small,10.15,22,37,14.5,,,,,Brightest,<5,>95,439,"eye problems, deafness, skin + heart problems, blood clotting disorders","Collie eye anomaly (CEA), deafness, Dermatomyositis and ulcerative dermatosis, Patent ductus arteriosus (PDA), von Willebrand's disease",,,,"16,401",52%,465,budget,150,1000,-,-,-,5,257,"3,220",,"12,516",999,784,121,126,244,177,116,200,,http://www.vetstreet.com/dogs/shetland-sheepdog#grooming,http://www.purina.com.au/sitecore/content/PurinaAustralia/Home/owning-a-dog/dog-breeds/Shetland-Sheepdog,
Siberian Husky,,working,,3.22,16,16,"$22,049",20.00%,,45,45%,12.58,83%,0,100%,$650,67%,$466,23%,3,100%,1,100%,,4.72,10,3,3.22,16,,medium,22,47.5,55,21.75,,Longevity based on UK KC Survey 2004,UK Kennel Club survey 2004,http://www.thekennelclub.org.uk/item/549,Average,25-40,>50,129,none,none,,,,"18,225",21%,650,budget,450,1000,5.75,4,7.5,7.33,382,"4,809",,"12,566",999,784,121,126,244,177,116,200,,,,
Lhasa Apso,,non-sporting,,3.21,62,50,"$22,031",21.00%,,68,15%,13.92,97%,1,89%,$350,98%,$324,68%,2,75%,1,100%,,4.58,12,7,3.21,62,,small,7,15,27,10.5,,,,,Fair,40-80,>30,91,'dry eye',"Keratoconjunctivitis sicca (KCS) - ""dry eye""",,,,"18,156",22%,350,budget,175,550,4,4,4,5.10,266,"3,702",,"13,905",999,784,121,126,244,177,116,200,,,,
Affenpinscher,,toy,,3.2,139,84,"$18,333",72.00%,,37,56%,11.42,47%,0,100%,$510,90%,$324,68%,2,75%,2,50.00%,,4.07,13,26,3.20,139,,small,no data,no data,26,10.25,,,,,Above average,15-25,>70,21,none,none,,,,"15,154",71%,510,budget,200,800,4,4,4,5.10,266,"3,037",,"11,407",999,784,121,126,244,177,116,200,,,,
Dachshund,,hound,,3.19,9,9,"$20,113",49.00%,,49,37%,12.63,85%,2,78%,$423,97%,$324,68%,2,75%,3,0.00%,,3.57,14,54,3.19,9,,small,11,24,no data,no data,,,,,Average,25-40,>50,265,"skin, spinal problems","acanthosis nigricans, Intervertebral disk disease",,,,"16,597",49%,423,budget,125,750,4,4,4,5.10,266,"3,359",,"12,616",999,784,121,126,244,177,116,200,,,,
Miniature Schnauzer,,terrier,,3.19,12,12,"$20,087",51.00%,,12,87%,11.81,56%,2,78%,$715,57%,$405,63%,2,75%,2,50.00%,,4.07,14,27,3.19,12,,small,7,15.5,33,13,,,,,Excellent,5-15,>85,232,"liver, sinus problems","Portosystemic shunt, Sick sinus syndrome",,,,"15,746",63%,715,mid-price,200,1600,-,-,-,5,257,"3,035",,"11,797",999,784,121,126,244,177,116,200,,http://www.vetstreet.com/dogs/miniature-schnauzer#grooming,http://www.purina.com.au/sitecore/content/PurinaAustralia/Home/owning-a-dog/dog-breeds/Schnauzer-Miniature,
Chihuahua,,toy,,3.15,14,14,"$26,250",2.00%,,67,16%,16.50,100%,1,89%,$588,78%,$324,68%,2,75%,3,0.00%,,3.53,16,55,3.15,14,,small,2,5.5,13,5,,weight should not exceed 6 pounds,,,Fair,40-80,>30,-,knee problems,Patellar luxation,,,,"21,657",1%,588,budget,200,1500,4,4,4,5.10,266,"4,388",,"16,482",999,784,121,126,244,177,116,200,lifespan,http://www.yourdogsbreed.com/dog-breeds/95-chihuahua.html,http://www.vetstreet.com/dogs/chihuahua,
Australian Terrier,,terrier,,3.11,121,77,"$17,892",76.00%,,34,64%,11.05,40%,0,100%,$640,70%,$324,68%,2,75%,2,50.00%,,3.99,17,30,3.11,121,,small,no data,no data,27,10.5,,,,,Above average,15-25,>70,241,none,none,,,,"14,816",75%,640,budget,200,900,4,4,4,5.10,266,"2,938",,"11,038",999,784,121,126,244,177,116,200,,,,
Whippet,,hound,,3.11,57,46,"$20,976",38.00%,,51,34%,12.87,87%,0,100%,$915,36%,$324,68%,2,75%,2,50.00%,,3.99,17,30,3.11,57,,medium,no data,no data,51,20,,,,,Average,25-40,>50,500,none,none,,,,"17,393",36%,915,mid-price,650,1200,4,4,4,5.10,266,"3,422",,"12,856",999,784,121,126,244,177,116,200,,,,
English Springer Spaniel,,sporting,,3.09,29,29,"$21,946",24.00%,,13,86%,12.54,82%,4,56%,$615,74%,$466,23%,2,75%,1,100%,,4.47,19,9,3.09,29,,medium,20,45,50,19.5,,,,,Excellent,5-15,>85,194,"hip, eye, skin problems; enzyme deficiency","Hip dysplasia, Phosphofructokinase (PFK) deficiency, Retinal dysplasia, seborrhea",,,,"18,135",24%,615,budget,450,1500,5.75,4,7.5,7.33,382,"4,794",,"12,526",999,784,121,126,244,177,116,200,,,,
