Sources - see bottom right,,category,,datadog score,POPULARITY IN US,POPULARITY IN US,"LIFETIME COST, $",5 LIFETIME COST,,1 INTELLIGENCE (TRAINABILITY) ranking,INTELLIGENCE (TRAINABILITY) ranking,2 LONGEVITY,LONGEVITY,3 NO. OF GENETIC AILMENTS,GENETIC AILMENTS,"4a average purchase price, US$","average purchase price, US$","4b food costs per year, US$","food costs per year, US$",5a grooming required ,grooming required ,5b suitability for children ,suitability for children ,,ULTIMATE TOP DOG MEGA SCORE (with kids),ULTIMATE TOP DATA DOG MEGA RANKING - without kids,ULTIMATE TOP DATA DOG MEGA RANKING - with kids,ULTIMATE TOP DOG MEGA SCORE,POPULAR RATING,,size category,weight (kg),weight (lbs),shoulder height (cm),shoulder height (in),,note,source,link,intelligence category,repetitions to understand new commands,obey first command (% of time),longevity sample size - survey sample size,GENETIC DISEASES - congenital ailments: summary / areas affected,congenital ailments: summary / areas affected,exclude?,most abandoned?,,"4 LIFETIME COST, $",4 LIFETIME COST,average purchase price (US $),price bracket,lowest (US$),highest (US$),"food per week, average, £","min, £","max, £","food per week, $","food per year, $","food per lifetime, $",,"Other regular costs, total per lifetime, $","total  per year, $","total, per year, £","toys, presents, treats, per year, £","pet sitters, per year, £","grooming, per year, £","vet fees per year, £","kennels per year, £","one offs, $",,,,
Dog breed,,American Kennel Club group,,,"1- 173, 1 = most poular, US. American Kennel Club registrations 2011, pure breeds only",ranking within breeds with full data only,,"in descending rank (higher score = better),  normalized as percentage",,1 = easiest to train / learn new commands,"in descending rank (higher score = better),  normalized as percentage","years, weighted average - see note","in ascending rank order (higher score = better), normalized as percentage",serious only,0 = 100% ... 9 = 0%,"mean, from puppyfind.com",reverse ranked percentile,,reverse ranked percentile,once every.. 1=day. 2=week 3=few weeks,"once every few weeks 100%, week 75%, day 50%",1 - highly suitable. 2 - medium suitability. 3 - low suitability ,"100% = highly suitable, 50% = medum, 0% = low",,intelligence + longevity + ailments + cost scores (50% each) + 100% grooming score. highest possible score: 5,,,intelligence + longevity + ailments + 50% (purchase price + food costs + grooming score). highest possible score: 4.5,"pure breeds, American Kennel Club 2011",,,"mean of 'ideal' range for breed, mean of dogs and bitches",,,,,"popularity ranking: some breeds not included. intelligence ranking: some rank spots have multiple breeds. longevity is weighted average (mean) of several sources. price is mean price, first 10 puppies/breed, puppyfind.com 11-13 July 2012.",,,,,,<20 = not trustworthy,only serious + common for breed,only serious + common for breed,X = exclude,no data,,,"in descending rank (higher score = better),  normalized as percentage","mean, from puppyfind.com",,,,,,,converted to US $ using Google Finance,,food per week x 52.1775 x average lifespan (column N),,"if no average lifespan data, then 'no data'",converted to US $ using Google Finance,,averaged across all dog breeds. pet food excluded as calculated separately (see food costs),,,,,"Initial outlay: leash, collar, ID tag; food dishes; crate & bedding; toys and chews.",,,,
Shih Tzu,,toy,,2.93,11,11,"$21,152",32.00%,,70,13%,13.20,92%,1,89%,$583,80%,$324,68%,1,50%,1,100%,,4.18,29,19,2.93,11,,small,6,12.5,25,9.75,,,,,Lowest,80-100,<25,97,eye problems,"Exposure keratopathy syndrome (exophthalmos, lagophthalmos, and/or macroblepharon)",,,,"17,478",32%,583,budget,275,1200,4,4,4,5.10,266,"3,510",,"13,185",999,784,121,126,244,177,116,200,,,,
Australian Shepherd,,herding,,2.91,24,24,"$21,458",28.00%,,42,52%,12.28,71%,2,78%,$565,82%,$466,23%,2,75%,2,50.00%,,3.78,31,46,2.91,24,,medium,no data,no data,52,20.5,,,,,Average,25-40,>50,641,"deafness, hip problems","deafness, hip dysplasia",,,,"17,726",29%,565,budget,250,1000,5.75,4,7.5,7.33,382,"4,694",,"12,266",999,784,121,126,244,177,116,200,,,,
Yorkshire Terrier,,toy,,2.85,5,5,"$20,701",39.00%,,27,75%,12.60,84%,4,56%,"$1,057",23%,$324,68%,1,50%,3,0.00%,,3.10,32,69,2.85,5,,small,2,5.5,no data,no data,,,,,Above average,15-25,>70,63,"knee, liver, trachea, eye disorders","Patellar luxation, Portosystemic shunt, tracheal collapse, Retinal dysplasia",,,,"17,194",38%,"1,057",mid-price,275,2800,4,4,4,5.10,266,"3,351",,"12,586",999,784,121,126,244,177,116,200,,,,
Irish Setter,,sporting,,2.84,70,56,"$20,323",45.00%,,35,61%,11.63,53%,2,78%,$525,86%,$466,23%,2,75%,1,100%,,4.21,33,17,2.84,70,,large,29,65,66,26,,,,,Above average,15-25,>70,922,"hip, eye problems","Hip dysplasia, Progressive retinal atrophy",,,,"16,788",45%,525,budget,300,1000,5.75,4,7.5,7.33,382,"4,446",,"11,617",999,784,121,126,244,177,116,200,,,,
Pharaoh Hound,,hound,,2.81,151,86,"$21,047",33.00%,,37,56%,11.83,57%,0,100%,$913,37%,$466,23%,2,75%,2,50.00%,,3.69,34,47,2.81,151,,medium,no data,no data,58,23,,price: 6 puppies for sale only,,,Above average,15-25,>70,15,none,none,,,,"17,452",34%,913,mid-price,475,1000,5.75,4,7.5,7.33,382,"4,522",,"11,817",999,784,121,126,244,177,116,200,,,,
Brussels Griffon,,toy,,2.8,77,59,"$19,551",57.00%,,59,25%,12.00,61%,0,100%,$833,45%,$324,68%,2,75%,3,0.00%,,3.18,36,66,2.80,77,,small,4,9,no data,no data,,,,,Fair,40-80,>30,71,none,none,,,,"16,210",56%,833,mid-price,500,1500,4,4,4,5.10,266,"3,191",,"11,987",999,784,121,126,244,177,116,200,,,,
Golden Retriever,,sporting,,2.8,4,4,"$21,447",29.00%,,4,97%,12.04,63%,4,56%,$958,31%,$466,23%,2,75%,1,100%,,4.17,37,20,2.80,4,,medium,27,60,58,22.75,,,,,Brightest,<5,>95,1314,"elbows, hips, eyes, heart ","elbow dysplasia, hip dysplasia, retinal dysplasia, subaortic stenosis",,,,"17,787",28%,958,mid-price,325,2500,5.75,4,7.5,7.33,382,"4,602",,"12,027",999,784,121,126,244,177,116,200,,,,
Samoyed,,working,,2.8,69,55,"$25,352",6.00%,,33,68%,12.44,76%,1,89%,"$1,162",15%,$710,6%,2,75%,1,100%,,4.18,35,18,2.80,69,,medium,no data,no data,54,21.25,,,,,Above average,15-25,>70,232,hip problems,hip dysplasia,,,,"21,025",3%,"1,162",mid-price,795,1400,8.75,7.5,10,11.15,582,"7,236",,"12,426",999,784,121,126,244,177,116,200,,,,
Beagle,,hound,,2.79,3,3,"$19,468",59.00%,,73,9%,12.30,72%,1,89%,$288,100%,$324,68%,1,50%,1,100%,,4.04,38,28,2.79,3,,small,no data,no data,36,14,,,,,Lowest,80-100,<25,303,heart problems,Pulmonic stenosis,,,,"16,045",59%,288,budget,100,600,4,4,4,5.10,266,"3,271",,"12,286",999,784,121,126,244,177,116,200,,,,
Chesapeake Bay Retriever,,sporting,,2.78,46,40,"$16,697",84.00%,,27,75%,9.48,22%,1,89%,$522,87%,$466,23%,2,75%,1,100%,,4.16,39,21,2.78,46,,large,31,67.5,60,23.5,,,,,Above average,15-25,>70,776,hip problems,hip dysplasia,,,,"13,815",83%,522,budget,175,795,5.75,4,7.5,7.33,382,"3,624",,"9,470",999,784,121,126,244,177,116,200,,,,
Tibetan Terrier,,non-sporting,,2.75,86,64,"$20,336",44.00%,,62,22%,12.31,74%,0,100%,"$1,140",17%,$324,68%,2,75%,2,50.00%,,3.63,40,51,2.75,86,,small,11,24,39,15.5,,,,,Fair,40-80,>30,102,none,none,,,,"16,910",41%,"1,140",mid-price,450,1600,4,4,4,5.10,266,"3,273",,"12,296",999,784,121,126,244,177,116,200,,,,
Gordon Setter,,sporting,,2.73,94,69,"$19,605",56.00%,,34,64%,11.10,41%,1,89%,$700,59%,$466,23%,2,75%,1,100%,,4.10,41,23,2.73,94,,large,28,62.5,64,25,,3 dogs only,,,Above average,15-25,>70,169,hip problems,hip dysplasia,,,,"16,231",55%,700,mid-price,500,100,5.75,4,7.5,7.33,382,"4,243",,"11,088",999,784,121,126,244,177,116,200,,,,
English Setter,,sporting,,2.72,87,65,"$20,312",46.00%,,37,56%,11.57,52%,2,78%,$615,74%,$466,23%,2,75%,1,100%,,4.09,43,25,2.72,87,,large,no data,no data,62,24.5,,,,,Above average,15-25,>70,402,"deafness, hip problems","deafness, hip dysplasia",,,,"16,795",44%,615,budget,250,1000,5.75,4,7.5,7.33,382,"4,423",,"11,557",999,784,121,126,244,177,116,200,,,,
Pug,,toy,,2.72,26,26,"$18,527",68.00%,,57,29%,11.00,39%,1,89%,$469,92%,$405,63%,2,75%,1,100.00%,,4.09,42,24,2.72,26,,medium,7,16,41,16,,,,,Fair,40-80,>30,163,'dry eye',"Keratoconjunctivitis sicca (KCS) - ""dry eye""",,,,"14,484",79%,469,budget,250,699,-,-,-,5,257,"2,827",,"10,988",999,784,121,126,244,177,116,200,,http://www.vetstreet.com/dogs/pug#grooming,http://www.purina.com.au/sitecore/content/PurinaAustralia/Home/owning-a-dog/dog-breeds/Pug,
Briard,,herding,,2.71,125,79,"$19,673",55.00%,,30,70%,11.17,43%,1,89%,$650,67%,$466,23%,1,50%,1,100%,,3.96,44,33,2.71,125,,large,no data,no data,62,24.5,,Only 2 puppies for sale,,,Above average,15-25,>70,71,hip problems,hip dysplasia,,,,"16,278",54%,650,budget,500,800,5.75,4,7.5,7.33,382,"4,270",,"11,158",999,784,121,126,244,177,116,200,,,,
Norfolk Terrier,,terrier,,2.71,120,76,"$24,308",10.00%,,56,30%,13.07,91%,0,100%,"$2,083",2%,$466,23%,2,75%,2,50.00%,,3.58,45,53,2.71,120,,small,5,12,24,9.5,,price: 9 puppies only,,,Fair,40-80,>30,324,none,none,,,,"20,335",6%,"2,083",high-end,250,2500,5.75,4,7.5,7.33,382,"4,996",,"13,056",999,784,121,126,244,177,116,200,,,,
Flat-Coated Retriever,,sporting,,2.7,90,67,"$16,000",90.00%,,18,82%,9.02,14%,0,100%,$600,77%,$466,23%,1,50%,1,100%,,3.95,46,34,2.70,90,,medium,no data,no data,59,23.25,,Price: 3 dogs only,,,Excellent,5-15,>85,1198,none,none,,,,"13,258",90%,600,budget,300,1200,5.75,4,7.5,7.33,382,"3,448",,"9,010",999,784,121,126,244,177,116,200,,,,
Boston Terrier,,non-sporting,,2.61,22,22,"$17,741",77.00%,,54,31%,10.92,38%,1,89%,$690,63%,$324,68%,2,75%,1,100%,,3.98,47,32,2.61,22,,medium,NA (3 classes),NA (3 classes),no data,no data,,,,,Average,25-40,>50,42,breathing problems,brachycephalic syndrome,,,,"14,702",76%,690,budget,400,1050,4,4,4,5.10,266,"2,904",,"10,908",999,784,121,126,244,177,116,200,,,,
Doberman Pinscher,,working,,2.59,13,13,"$18,397",71.00%,,5,95%,10.33,32%,4,56%,$790,54%,$466,23%,2,75%,2,50.00%,,3.47,49,57,2.59,13,,large,no data,no data,66,26,,,,,Brightest,<5,>95,201,"heart, spine, blood clotting disorders","Dilated cardiomyopathy, Cervical vertebral instability (Wobbler syndrome), Intervertebral disk disease, von Willebrand's disease",,,,"15,257",69%,790,mid-price,300,1200,5.75,4,7.5,7.33,382,"3,949",,"10,319",999,784,121,126,244,177,116,200,,,,
English Toy Spaniel,,toy,,2.59,129,80,"$17,521",79.00%,,45,45%,10.10,29%,0,100%,$925,33%,$405,63%,2,75%,2,50.00%,,3.47,48,56,2.59,129,,small,5,11,25,10,,,,,Average,25-40,>50,22,none,none,,,,"13,809",84%,925,mid-price,150,1500,-,-,-,5,257,"2,595",,"10,089",999,784,121,126,244,177,116,200,height food cost,http://www.vetstreet.com/dogs/english-toy-spaniel#health,http://www.purina.com.au/owning-a-dog/dog-breeds/King-Charles-Spaniel,
Belgian Tervuren,,herding,,2.57,108,72,"$19,132",61.00%,,14,85%,10.60,34%,2,78%,"$1,070",21%,$466,23%,2,75%,1,100%,,3.94,52,38,2.57,108,,large,no data,no data,61,24,,,,,Excellent,5-15,>85,105,"epilepsy, eye problems","Idiopathic epilepsy, Pannus - chronic superficial keratitis",,,,"15,910",60%,"1,070",mid-price,850,1200,5.75,4,7.5,7.33,382,"4,052",,"10,588",999,784,121,126,244,177,116,200,,,,
Cavalier King Charles Spaniel,,toy,,2.57,21,21,"$18,639",67.00%,,44,48%,11.29,46%,2,78%,"$1,017",28%,$324,68%,2,75%,1,100%,,3.95,50,35,2.57,21,,small,7,15.5,32,12.5,,,,,Average,25-40,>50,829,"heart, spinal problems","Mitral valve dysplasia, Chiari-like malformation (CM) and syringomyelia (SM)",,,,"15,496",66%,"1,017",mid-price,100,1800,4,4,4,5.10,266,"3,002",,"11,278",999,784,121,126,244,177,116,200,,,,
Dalmatian,,non-sporting,,2.57,73,57,"$19,886",53.00%,,39,55%,11.27,45%,2,78%,$695,61%,$466,23%,2,75%,1,100%,,3.95,50,35,2.57,73,,medium,no data,no data,53,21,,,,,Above average,15-25,>70,404,"deafness, urinary stones","Deafness, Urolithiasis (stones)",,,,"16,461",51%,695,budget,350,1000,5.75,4,7.5,7.33,382,"4,308",,"11,258",999,784,121,126,244,177,116,200,,,,
Basset Hound,,hound,,2.54,41,36,"$18,328",74.00%,,71,11%,11.43,48%,2,78%,$490,91%,$324,68%,2,75%,1,100%,,3.92,53,39,2.54,41,,small,no data,no data,36,14,,,,,Lowest,80-100,<25,152,"blood, skin disorders","Platelet dysfunction (thrombocytopathia, Basset hound thrombopathia), seborrhea",,,,"15,146",72%,490,budget,150,1000,4,4,4,5.10,266,"3,039",,"11,417",999,784,121,126,244,177,116,200,,,,
Basenji,,hound,,2.51,93,68,"$22,096",18.00%,,79,2%,13.58,94%,3,67%,$940,32%,$324,68%,2,75%,2,50.00%,,3.38,54,59,2.51,93,,medium,10,23,42,16.5,,,,,Lowest,80-100,<25,46,"kidney, eye problems, anaemia","Fanconi syndrome, Persistent pupillary membranes (PPM), Pyruvate kinase (PK) deficiency",,,,"18,316",17%,940,mid-price,600,1200,4,4,4,5.10,266,"3,611",,"13,565",999,784,121,126,244,177,116,200,,,,
Italian Greyhound,,toy,,2.49,65,53,"$16,463",86.00%,,60,24%,10.02,28%,0,100%,$800,52%,$324,68%,2,75%,3,0.00%,,2.86,55,77,2.49,65,,small,no data,no data,36,14,,,,,Fair,40-80,>30,203,none,none,,,,"13,673",86%,800,mid-price,500,120,4,4,4,5.10,266,"2,665",,"10,009",999,784,121,126,244,177,116,200,,,,
Staffordshire Bull Terrier,,terrier,,2.48,76,58,"$21,650",25.00%,,49,37%,12.05,66%,1,89%,"$1,145",16%,$466,23%,2,75%,1,100%,,3.86,56,41,2.48,76,,medium,14,31,38,15,,,,,Average,25-40,>50,157,hip problems,hip dysplasia,,,,"17,988",25%,"1,145",mid-price,500,1500,5.75,4,7.5,7.33,382,"4,606",,"12,037",999,784,121,126,244,177,116,200,,,,
Bouvier des Flandres,,herding,,2.47,83,62,"$18,959",64.00%,,29,72%,10.34,33%,1,89%,"$1,335",6%,$466,23%,2,75%,1,100%,,3.84,57,42,2.47,83,,large,no data,no data,65,25.5,,,,,Above average,15-25,>70,1079,hip problems,hip dysplasia,,,,"15,816",61%,"1,335",mid-price,800,2500,5.75,4,7.5,7.33,382,"3,953",,"10,329",999,784,121,126,244,177,116,200,,,,
Pembroke Welsh Corgi,,herding,,2.45,25,25,"$23,978",13.00%,,11,89%,12.25,69%,9,0%,$587,79%,$674,21%,2,75%,1,100.00%,,3.82,58,43,2.45,25,,small,12,26,28,11,,,,,Excellent,5-15,>85,116,"cataracts + other eye problems, connective tissue, nerves, kidneys, spine, blood clotting disorders","Cataracts, Corneal dystrophy, Cutaneous asthenia (Ehlers-Danlos syndrome), Degenerative myelopathy, Familial kidney disease, Intervertebral disk disease, Persistent pupillary membranes (PPM), Retinal dysplasia, von Willebrand's disease",,,,"18,269",20%,587,budget,375,750,-,-,-,8,428,"5,246",,"12,237",999,784,121,126,244,177,116,200,,http://www.vetstreet.com/dogs/pembroke-welsh-corgi#grooming,http://www.purina.com.au/sitecore/content/PurinaAustralia/Home/owning-a-dog/dog-breeds/Welsh-Corgi-Pembroke,
Clumber Spaniel,,sporting,,2.44,133,82,"$18,084",75.00%,,37,56%,10.00,25%,0,100%,"$1,033",26%,$466,23%,2,75%,1,100%,,3.81,59,44,2.44,133,,medium,32,70,47,18.5,,,,,Above average,15-25,>70,301,none,none,,,,"15,045",74%,"1,033",mid-price,800,1500,5.75,4,7.5,7.33,382,"3,823",,"9,989",999,784,121,126,244,177,116,200,,,,
Dandie Dinmont Terrier,,terrier,,2.42,160,87,"$21,633",26.00%,,62,22%,12.17,67%,0,100%,$925,33%,$466,23%,1,50%,1,100%,,3.67,60,49,2.42,160,,small,10,21,23,9,,Only 2 for sale,,,Fair,40-80,>30,62,none,none,,,,"17,934",26%,925,mid-price,850,1000,5.75,4,7.5,7.33,382,"4,652",,"12,157",999,784,121,126,244,177,116,200,,,,
Saluki,,hound,,2.41,117,75,"$24,866",7.00%,,43,49%,12.00,61%,0,100%,"$1,525",5%,$710,6%,1,50%,1,100%,,3.66,61,50,2.41,117,,medium,no data,no data,58,23,,lower end of range for males (23-28). females smaller,,,Average,25-40,>50,132,none,none,,,,"20,692",5%,"1,525",high-end,1000,1800,8.75,7.5,10,11.15,582,"6,980",,"11,987",999,784,121,126,244,177,116,200,,,,
Giant Schnauzer,,working,,2.38,95,70,"$26,686",1.00%,,28,74%,10.00,25%,1,89%,$810,49%,"$1,349",1%,1,50%,2,50.00%,,3.13,62,67,2.38,95,,large,35,77.5,65,25.5,,,,,Above average,15-25,>70,39,hip problems,hip dysplasia,,,,"19,564",9%,810,mid-price,400,1500,-,-,-,16,857,"8,565",,"9,989",999,784,121,126,244,177,116,200,,http://www.vetstreet.com/dogs/giant-schnauzer#grooming,http://www.purina.com.au/sitecore/content/PurinaAustralia/Home/owning-a-dog/dog-breeds/Schnauzer-Giant,
Greyhound,,hound,,2.29,140,85,"$15,819",92.00%,,46,43%,9.36,20%,1,89%,"$1,175",14%,$324,68%,2,75%,1,100%,,3.67,63,48,2.29,140,,large,29,65,no data,no data,,,,,Average,25-40,>50,74,blood vessel disorders,familial vasculopathy,,,,"13,214",91%,"1,175",mid-price,200,2500,4,4,4,5.10,266,"2,489",,"9,350",999,784,121,126,244,177,116,200,,,,
Scottish Terrier,,terrier,,2.27,54,45,"$17,525",78.00%,,65,18%,10.69,37%,1,89%,$829,47%,$324,68%,1,50%,2,50.00%,,3.02,64,71,2.27,54,,small,9,20,25,10,,,,,Fair,40-80,>30,342,blood clotting disorder,von Willebrand's disease,,,,"14,550",77%,829,mid-price,400,2200,4,4,4,5.10,266,"2,843",,"10,678",999,784,121,126,244,177,116,200,,,,
Rottweiler,,working,,2.24,10,10,"$18,886",66.00%,,9,91%,9.11,17%,3,67%,"$1,118",18%,$710,6%,2,75%,2,50.00%,,3.12,65,68,2.24,10,,large,no data,no data,62,24.5,,,,,Brightest,<5,>95,654,"heart, elbow, hip problems","Subaortic stenosis, Elbow dysplasia - OCD of the elbow, Hip dysplasia",,,,"15,717",64%,"1,118",mid-price,300,1800,8.75,7.5,10,11.15,582,"5,299",,"9,100",999,784,121,126,244,177,116,200,,,,
Kerry Blue Terrier,,terrier,,2.13,124,78,"$17,240",83.00%,,35,61%,9.40,21%,1,89%,"$1,200",11%,$466,23%,1,50%,2,50.00%,,2.88,66,76,2.13,124,,medium,17,36.5,47,18.5,,,,,Above average,15-25,>70,353,heart problems,Patent ductus arteriosus (PDA),,,,"14,383",82%,"1,200",mid-price,900,1500,5.75,4,7.5,7.33,382,"3,593",,"9,390",999,784,121,126,244,177,116,200,,,,
Afghan Hound,,hound,,2.08,88,66,"$24,077",11.00%,,80,1%,11.92,59%,0,100%,$890,40%,$710,6%,1,50%,1,100%,,3.33,67,60,2.08,88,,large,25,55,66,26,,,,,Lowest,80-100,<25,154,none,none,,,,"19,931",8%,890,mid-price,450,1000,8.75,7.5,10,11.15,582,"6,934",,"11,907",999,784,121,126,244,177,116,200,,,,
Newfoundland,,working,,2.07,43,37,"$19,351",60.00%,,34,64%,9.32,18%,2,78%,"$1,178",13%,$710,6%,2,75%,1,100%,,3.45,68,58,2.07,43,,large,57,125,69,27,,,,,Above average,15-25,>70,340,"hip problems, heart defects","subaortic stenosis, hip dysplasia",,,,"16,109",57%,"1,178",mid-price,500,2000,8.75,7.5,10,11.15,582,"5,421",,"9,310",999,784,121,126,244,177,116,200,,,,
German Shepherd,,herding,,2.06,2,2,"$17,416",80.00%,,3,98%,9.73,24%,8,11%,$820,48%,$466,23%,2,75%,2,50.00%,,2.94,69,74,2.06,2,,large,no data,no data,61,24,,,,,Brightest,<5,>95,795,"nerves, pancreas, blood (hemophilia), hip joints","Degenerative myelopathy (nerve disorder), Exocrine pancreatic insufficiency, Hemophilia, Hip dysplasia, Renal cystadenocarcinoma and nodular dermatofibrosis, Pannus - chronic superficial keratitis, Panosteitis, Perianal fistula

",,,,"14,458",80%,820,mid-price,400,1495,5.75,4,7.5,7.33,382,"3,719",,"9,719",999,784,121,126,244,177,116,200,,,,
Pekingese,,toy,,2.05,64,52,"$20,565",40.00%,,74,8%,11.56,51%,1,89%,$885,41%,$466,23%,1,50%,2,50.00%,,2.80,70,78,2.05,64,,small,6,13,no data,no data,,to weigh no more than 14 pounds,,,Lowest,80-100,<25,94,knee problems,Patellar luxation,,,,"17,051",39%,885,mid-price,200,3800,5.75,4,7.5,7.33,382,"4,419",,"11,547",999,784,121,126,244,177,116,200,,,,
Old English Sheepdog,,herding,,2.04,84,63,"$22,611",15.00%,,63,21%,11.19,44%,1,89%,$832,46%,$710,6%,1,50%,1,100%,,3.29,71,61,2.04,84,,medium,no data,no data,56,22,,,,,Fair,40-80,>30,111,hip problems,hip dysplasia,,,,"18,718",13%,832,mid-price,500,1000,8.75,7.5,10,11.15,582,"6,509",,"11,178",999,784,121,126,244,177,116,200,,,,
Akita,,working,,1.95,47,41,"$20,994",37.00%,,54,31%,10.16,30%,1,89%,"$1,202",10%,$710,6%,2,75%,3,0.00%,,2.33,72,86,1.95,47,,large,no data,no data,66,26,,,,,Average,25-40,>50,192,hip problems,hip dysplasia,,,,"17,460",33%,"1,202",mid-price,565,1800,8.75,7.5,10,11.15,582,"5,910",,"10,149",999,784,121,126,244,177,116,200,,,,
Rhodesian Ridgeback,,hound,,1.91,44,38,"$16,530",85.00%,,52,33%,9.10,16%,2,78%,$995,29%,$466,23%,2,75%,2,50.00%,,2.78,73,79,1.91,44,,large,35,77.5,65,25.5,,,,,Average,25-40,>50,10,"birth defects, hip problems","dermoid sinus, Hip dysplasia",,,,"13,764",85%,995,mid-price,750,1300,5.75,4,7.5,7.33,382,"3,479",,"9,090",999,784,121,126,244,177,116,200,,,,
French Bulldog,,non-sporting,,1.9,18,18,"$17,266",82.00%,,58,28%,9.00,11%,0,100%,"$1,900",3%,$466,23%,2,75%,1,100%,,3.27,74,62,1.90,18,,medium,12,27,no data,no data,,must weigh 28 pounds or less,,,Fair,40-80,>30,71,none,none,,,,"14,530",78%,"1,900",high-end,1300,3500,5.75,4,7.5,7.33,382,"3,440",,"8,990",999,784,121,126,244,177,116,200,,,,
Borzoi,,hound,,1.89,102,71,"$16,176",87.00%,,76,6%,9.08,15%,0,100%,$675,64%,$466,23%,1,50%,2,50.00%,,2.64,75,82,1.89,102,,large,37,82.5,71,28,,"At least 28 in tall (males), 26 (females)",,,Lowest,80-100,<25,87,none,none,,,,"13,416",89%,675,budget,300,1250,5.75,4,7.5,7.33,382,"3,471",,"9,070",999,784,121,126,244,177,116,200,,,,
Bernese Mountain Dog,,working,,1.85,34,31,"$16,099",89.00%,,22,78%,7.56,7%,4,56%,"$1,320",8%,$710,6%,2,75%,1,100%,,3.23,76,63,1.85,34,,large,no data,no data,64,25.25,,,,,Excellent,5-15,>85,701,"meningitis, elbow + hip problems, complex immune disorder","Meningitis, Elbow dysplasia - OCD of the elbow, Hip dysplasia, Histiocytosis",,,,"13,469",87%,"1,320",mid-price,750,2500,8.75,7.5,10,11.15,582,"4,398",,"7,552",999,784,121,126,244,177,116,200,,,,
Bull Terrier,,terrier,,1.85,51,44,"$18,490",69.00%,,66,17%,10.21,31%,2,78%,"$1,085",20%,$466,23%,2,75%,2,50.00%,,2.72,77,80,1.85,51,,medium,27,60,55,21.5,,,,,Fair,40-80,>30,225,"heart problems, zinc metabolism disorder","lethal acrodermatitis, Mitral valve dysplasia",,,,"15,387",67%,"1,085",mid-price,300,1750,5.75,4,7.5,7.33,382,"3,903",,"10,199",999,784,121,126,244,177,116,200,,,,
Boxer,,working,,1.83,7,7,"$15,746",94.00%,,48,39%,8.81,10%,4,56%,$700,59%,$466,23%,2,75%,1,100%,,3.21,78,64,1.83,7,,medium,no data,no data,59,23.25,,,,,Average,25-40,>50,2112,"eye, nerve, heart problems","Corneal dystrophy, Degenerative myelopathy, Dilated cardiomyopathy, Subaortic stenosis",,,,"13,068",94%,700,mid-price,300,2500,5.75,4,7.5,7.33,382,"3,368",,"8,800",999,784,121,126,244,177,116,200,,,,
Alaskan Malamute,,working,,1.82,58,47,"$21,986",23.00%,,50,36%,10.67,36%,2,78%,"$1,210",9%,$710,6%,1,50%,2,50.00%,,2.57,79,83,1.82,58,,large,36,80,61,24,,Longevity based on UK KC Survey 2004,UK Kennel Club survey 2004,http://www.thekennelclub.org.uk/item/549,Average,25-40,>50,14,"hip problems, dwarfism","Hip dysplasia, Osteochondrodysplasia - skeletal dwarfism",,,,"18,274",18%,"1,210",mid-price,550,2350,8.75,7.5,10,11.15,582,"6,207",,"10,658",999,784,121,126,244,177,116,200,,,,
Chow Chow,,non-sporting,,1.76,68,54,"$15,898",91.00%,,77,5%,9.01,13%,2,78%,$515,89%,$466,23%,1,50%,2,50.00%,,2.51,80,85,1.76,68,,medium,no data,no data,47,18.5,,,,,Lowest,80-100,<25,38,"eye, hip problems","Entropion, Hip dysplasia",,,,"13,159",92%,515,budget,200,750,5.75,4,7.5,7.33,382,"3,444",,"9,000",999,784,121,126,244,177,116,200,,,,
Bloodhound,,hound,,1.66,48,42,"$13,824",98.00%,,75,7%,6.75,3%,2,78%,$608,76%,$710,6%,2,75%,2,50.00%,,2.54,81,84,1.66,48,,large,39,85,64,25,,,,,Lowest,80-100,<25,82,"fatal stomach bloat, skin problems","Gastric dilatation-volvulus, Hip dysplasia",,,,"11,477",99%,608,budget,200,1000,8.75,7.5,10,11.15,582,"3,926",,"6,743",999,784,121,126,244,177,116,200,,,,
Irish Wolfhound,,hound,,1.66,79,60,"$18,435",70.00%,,41,53%,6.94,5%,3,67%,"$1,333",7%,"$1,217",2%,2,75%,1,100%,,3.04,82,70,1.66,79,,large,no data,no data,81,32,,,,,Average,25-40,>50,121,"heart, liver, hip problems","Dilated cardiomyopathy, Hip dysplasia, Portosystemic shunt",,,,"15,386",68%,"1,333",mid-price,800,1550,15,15,15,19.11,997,"6,921",,"6,932",999,784,121,126,244,177,116,200,,,,
Bullmastiff,,working,,1.64,40,35,"$13,936",97.00%,,69,14%,7.57,8%,2,78%,$980,30%,$466,23%,2,75%,1,100%,,3.01,83,72,1.64,40,,large,52,115,65,25.5,,,,,Fair,40-80,>30,103,"eye, hip problems","Entropion, Hip dysplasia",,,,"11,635",97%,980,mid-price,600,1600,5.75,4,7.5,7.33,382,"2,894",,"7,562",999,784,121,126,244,177,116,200,,,,
Mastiff,,working,,1.57,28,28,"$13,581",99.00%,,72,10%,6.50,2%,2,78%,$900,38%,$701,20%,2,75%,1,100.00%,,2.94,84,73,1.57,28,,large,79,175,76,30,,min weight for dogs,,,Lowest,80-100,<25,94,"hip, heart problems","Hip dysplasia, Pulmonic stenosis",,,,"10,488",100%,900,mid-price,150,1200,-,-,-,9,445,"2,895",,"6,493",999,784,121,126,244,177,116,200,,http://www.vetstreet.com/dogs/mastiff#grooming,http://www.purina.com.au/sitecore/content/PurinaAustralia/Home/owning-a-dog/dog-breeds/Mastiff,
